Brightness,Saturation,Size,numLikes
134.28,0.64,2.59,476
106.28,0.61,1.17,558
105.48,0.33,2.59,2693
106.92,0.62,2.07,217
54.63,0.28,1.38,583
135.36,0.17,2.59,766
103.49,0.35,2.59,278
118.93,0.04,2.07,827
117.9,0.25,1,185
97.16,0.15,2.07,814
102.23,0.38,2.59,9071
96.62,0.15,1.17,404
106.86,0.07,1.17,363
123.59,0.05,1.17,687
130.29,0.28,2.07,857
136.02,0.02,2.07,485
116.28,0.09,2.59,457
163.58,0.21,1.17,488
121.54,0.11,2.07,801
165.59,0.17,2.07,570
159.62,0.22,2.07,416
98.75,0.38,2.07,562
154.08,0.49,1.46,380
109.61,0.23,2.28,229
108.09,0.17,2.59,326
85.73,0.11,2.59,381
112.44,0.26,2.59,1403
127.95,0.06,2.07,496
115.38,0.56,1.46,176
155.15,0.14,2.59,394
107.13,0.28,1.46,219
95.6,0.25,1.46,232
152.29,0.59,1.46,6061
174.35,0.19,0.64,283
161.47,0.06,1.46,160
85.43,0.26,1.46,918
139.87,0.2,1.56,2516
103.51,0.37,1.17,2021
92.22,0.21,2.07,221
118.62,0.12,1.66,914
