Brightness,Saturation,Size,numLikes
52.66,216,2592000,418
60.42,148,1458000,335
42.98,154,227800,221
53.4,116,2592000,326
48.1,160,2592000,379
61,135,29592000,1397
59.8,92,2073600,495
65.7,165,1458000,176
75.2,79,2588761,393
51.3,95,1458000,219
52.7,132,1458000,230
86.6,155,1458000,6065
81.3,86,640000,283
73.1,72,1458000,160
41.9,115,1458000,916
70.6,129,1555200,2517
52.4,117,1166400,2019
52.4,153,2072160,221
54.6,80,1658880,913
66.1,183,1166400,558
59.1,139,2592000,2694
70.3,170,2073600,217
29.9,106,1382400,4638
71.1,141,2592000,767
51.4,108,2592000,278
65.0,133,2073600,828
60.1,114,1000000,185
58.4,165,2073600,815
58.1,135,2592000,9071
44.0,88,1166400,405
52.5,108,1166400,363
55.6,80,1166400,687
51.6,149,1166400,2265
74.3,147,2073600,858
64.0,92,2073600,486
61.4,128,2592000,458
75.2,80,1166400,487
51.7,45,2073600,802
81.1,104,2073600,570
74.5,80,2073600,416
53.5,154,2073600,562
